cell_id,int_mean,int_mem_mean,cell_area,cell_edge
105,52.12466124661247,126.6046511627907,3690,215
106,53.904250122129945,149.08771929824562,2047,171
107,57.16786916786917,118.58490566037736,2079,159
108,59.88239116309292,146.4264705882353,1539,136
109,68.01845184518452,177.8987341772152,2222,158
110,47.385644371941275,128.6872037914692,3065,211
111,48.32093184979138,104.87373737373737,2876,198
112,71.56735985533454,132.77514792899407,2212,169
113,65.61492103075645,150.93076923076924,4812,260
114,44.58853831294269,84.95890410958904,1553,146
115,56.08498689629352,113.9949494949495,2671,198
116,65.62122448979592,120.72222222222223,2450,198
117,53.22783430232558,114.2303664921466,2752,191
118,55.068612391193035,114.34705882352941,1953,170
119,42.53972153972154,106.08648648648649,2442,185
120,81.41570438799076,130.93396226415095,866,106
121,49.25228310502283,103.3425925925926,876,108
122,50.12263787119167,135.9441340782123,2593,179
123,59.81823427582227,156.32894736842104,1733,152
124,48.662146226415096,110.00641025641026,1696,156
125,49.32093023255814,106.77564102564102,2150,156
126,56.53078324225865,140.30046948356807,2745,213
127,50.79414225941422,133.91304347826087,2390,184
128,47.82732685678471,131.30645161290323,3191,186
129,48.96057767369243,139.98901098901098,2562,182
130,78.3514467184192,135.70503597122303,1417,139
131,54.60377358490566,162.0344827586207,3180,203
132,50.81232294617564,111.6268656716418,1412,134
133,57.76309121621622,125.97814207650273,2368,183
134,61.69769173492182,148.4973544973545,2686,189
135,56.62899875363523,111.89502762430939,2407,181
136,53.755333635950976,101.32352941176471,2203,170
137,70.00361010830325,120.32704402515724,1662,159
138,52.59770642201835,166.38922155688624,2180,167
139,56.582760774515926,132.5,1601,140
140,45.71936056838366,133.7829457364341,1689,129
141,50.73018940858137,126.67027027027027,2587,185
142,47.12118607649334,107.81987577639751,2327,161
143,58.94898626553303,124.61111111111111,1529,162
144,61.73667029379761,128.27586206896552,2757,174
145,107.11764705882354,107.11764705882354,17,17
146,68.36374549819928,118.96902654867256,2499,226
147,58.196787148594375,130.76258992805757,1743,139
148,59.517304189435336,113.60759493670886,3843,237
149,51.20740740740741,157.4836956521739,2700,184
150,42.62005751258088,128.38418079096044,2782,177
151,62.45744064852345,147.94039735099338,1727,151
152,45.40133222314738,115.36813186813187,2402,182
153,64.71420824295011,135.8944099378882,1844,161
154,47.560340960071784,129.36158192090394,2229,177
155,66.51542477456098,135.42352941176472,2107,170
156,59.55290102389078,102.38034188034187,2637,234
157,56.65875912408759,127.24503311258277,1644,151
158,74.18983050847457,114.05813953488372,590,86
159,58.40312931431201,126.96913580246914,2173,162
160,45.455373406193075,90.15354330708661,4392,254
161,53.309244314013206,109.06565656565657,2726,198
162,63.61904761904762,63.61904761904762,21,21
163,64.12237093690248,125.77049180327869,1046,122
164,55.790650406504064,118.61607142857143,984,112
165,54.52055857253685,118.17194570135747,3867,221
166,57.479515291402194,182.13636363636363,3466,198
167,44.16404077849861,106.60115606936417,2158,173
168,56.13640132669983,129.32967032967034,2412,182
169,74.26455276857548,185.30872483221478,2113,149
170,63.07061958694204,150.22448979591837,3002,196
171,61.13638936049802,152.80921052631578,1767,152
172,49.307494646680944,121.75280898876404,2335,178
173,88.80161127895266,157.1304347826087,993,115
174,52.33477011494253,124.88888888888889,2088,171
175,52.18485237483954,134.1094890510949,1558,137
176,61.82289506428868,173.82716049382717,2411,162
177,49.46628571428572,141.5546875,1750,128
178,57.10312204351939,121.81,3171,200
179,59.501881467544685,146.42307692307693,2126,182
180,53.127893738140415,105.14942528735632,2635,174
181,68.45904673762148,173.37333333333333,2161,150
182,44.31743174317432,100.63478260869566,3333,230
183,50.8842645381984,140.97163120567376,1754,141
184,55.21394799054374,134.71859296482413,2538,199
185,48.29028635597979,120.77922077922078,1781,154
186,63.058449809402795,153.25153374233128,2361,163
187,41.79149135109864,92.44186046511628,2139,172
188,47.894503959012575,115.94514767932489,4294,237
189,60.42486818980668,147.84177215189874,2276,158
190,43.17521561507036,125.8,2203,160
191,61.53457627118644,122.2967032967033,2950,182
192,55.96416221314052,124.44607843137256,3181,204
193,56.63760546404178,151.15217391304347,2489,184
194,77.56515373352855,118.81111111111112,683,90
195,51.22717391304348,120.27717391304348,2760,184
196,59.36195883605394,120.22695035460993,1409,141
197,61.98916967509025,140.7972972972973,1939,148
198,56.37507383343178,132.59731543624162,1693,149
199,61.66284074605452,95.28865979381443,697,97
200,44.783043707214325,103.93464052287581,1899,153
201,43.21942039894618,91.85353535353535,2657,198
202,55.18996519721578,131.25506072874495,3448,247
203,56.8777711204314,121.89473684210526,1669,133
204,44.22061191626409,121.76444444444445,3726,225
205,51.936440677966104,116.46715328467154,1416,137
206,59.51052395879982,142.7116564417178,2233,163
207,69.17740549828179,144.43930635838151,2328,173
208,50.82768138801262,99.56470588235294,2536,170
209,50.319419699669126,124.85853658536585,3929,205
210,44.29284288565726,129.1266968325792,3507,221
211,55.41540516473731,138.78658536585365,2246,164
212,60.63361735089078,149.21929824561403,1291,114
213,49.94774836713647,125.30051813471502,2909,193
214,40.284625158831005,90.7247191011236,2361,178
215,62.92062982005142,133.10900473933648,3112,211
216,46.995345228859584,115.63934426229508,2578,183
217,52.697205977907736,89.17164179104478,1539,134
218,55.461693548387096,98.87341772151899,1488,158
219,54.54399441340782,105.1418439716312,1432,141
220,46.599460552933245,117.14285714285714,1483,133
221,38.41699092088197,107.43203883495146,3084,206
222,49.78917503273679,119.39887640449439,2291,178
223,52.88787878787879,101.51937984496124,1320,129
224,55.34364261168385,81.51456310679612,873,103
225,74.77474892395983,97.54838709677419,697,93
226,52.627332931968695,113.4968152866242,1661,157
227,47.35222482435597,118.37888198757764,2135,161
228,49.6084142394822,99.2987012987013,1545,154
229,34.64254108723135,89.67821782178218,3164,202
230,44.816268486916954,119.54609929078015,1758,141
231,50.15341156019122,122.22222222222223,2301,162
232,56.21040620721132,153.83125,2191,160
233,57.71686460807601,112.78823529411764,2105,170
234,46.87656529516995,60.70103092783505,559,97
235,53.43444365698087,112.70229007633588,1411,131
236,69.31280615815255,123.38,1429,150
237,53.94824016563147,113.45664739884393,2415,173
238,57.65238611713666,95.0718954248366,1844,153
239,46.56976744186046,135.425,2666,200
240,45.70226843100189,111.13907284768212,2116,151
241,41.59784075573549,94.12972972972973,2223,185
242,59.70066889632107,90.74444444444444,598,90
243,63.162778641783305,122.5,1929,166
244,54.57456647398844,109.59183673469387,1730,147
245,41.74910295335357,93.37037037037037,3623,243
246,53.41540303272147,108.36283185840708,2506,226
247,67.22446808510638,109.21929824561404,940,114
248,67.53177795655672,101.1726618705036,1243,139
249,38.69305856832972,84.78343949044586,1844,157
250,48.26796875,68.9051094890511,1280,137
251,61.18647166361974,101.19796954314721,1641,197
252,44.16444444444444,99.645,2925,200
253,54.665910808767954,88.2992700729927,1323,137
254,40.50192625206384,90.10778443113773,1817,167
255,45.33740458015267,95.17647058823529,1310,136
256,39.39111111111111,93.77319587628865,2700,194
257,53.93695652173913,83.66355140186916,920,107
258,40.088182363527295,98.53103448275863,1667,145
259,38.04602933737987,90.72903225806452,1977,155
260,64.58894105372978,110.43859649122807,1917,171
261,46.75104895104895,101.68484848484849,2145,165
262,52.3668720054757,72.92857142857143,1461,140
263,55.907534246575345,92.22972972972973,1752,148
264,45.71376811594203,67.30841121495327,828,107
265,42.14726840855107,96.41116751269035,2526,197
266,47.27660668380463,103.44578313253012,1945,166
267,46.78550295857988,68.32,676,100
268,55.93141797961075,100.63636363636364,1079,110
269,47.525160599571734,93.14788732394366,1868,142
270,66.49498746867168,97.49438202247191,798,89
271,69.71678832116788,99.68627450980392,685,102
